Time,T,sensor,depth,flags
1972-12-12T03:08:27.000Z,294.37898,TG22B,234,0
1972-12-12T03:08:27.000Z,300.46098,TG22A,186,0
1972-12-12T03:12:57.000Z,305.39996,TC22,15,0
1972-12-12T03:12:57.000Z,294.79999,TC23,67,0
1972-12-12T03:15:45.000Z,296.46097,TG22A,186,0
1972-12-12T03:15:45.000Z,290.85897,TG22B,234,0
1972-12-12T03:20:16.000Z,297.59998,TC22,15,0
1972-12-12T03:20:16.000Z,292.69995,TC23,67,0
1972-12-12T03:22:59.000Z,287.34849,TG22B,234,0
1972-12-12T03:22:59.000Z,292.25149,TG22A,186,0
1972-12-12T03:27:30.000Z,294.59998,TC22,15,0
1972-12-12T03:27:30.000Z,290.29999,TC23,67,0
1972-12-12T03:30:14.000Z,289.10594,TG22A,186,0
1972-12-12T03:30:14.000Z,284.65394,TG22B,234,0
1972-12-12T03:34:44.000Z,286.29999,TC23,67,0
1972-12-12T03:34:44.000Z,290.09998,TC22,15,0
1972-12-12T03:55:29.000Z,285.89996,TC22,15,0
1972-12-12T03:55:29.000Z,281.19995,TC23,67,0
1972-12-12T03:59:10.000Z,280.526,TG22A,186,0
1972-12-12T03:59:10.000Z,277.094,TG22B,234,0
1972-12-12T04:03:41.000Z,279.89996,TC23,67,0
1972-12-12T04:03:41.000Z,281.69995,TC22,15,0
1972-12-12T04:06:29.000Z,278.93846,TG22A,186,0
1972-12-12T04:06:29.000Z,275.72146,TG22B,234,0
1972-12-12T04:10:59.000Z,278.29999,TC23,67,0
1972-12-12T04:10:59.000Z,280.69995,TC22,15,0
1972-12-12T04:13:43.000Z,277.53897,TG22A,186,0
1972-12-12T04:13:43.000Z,274.52097,TG22B,234,0
1972-12-12T04:18:13.000Z,280.59998,TC22,15,0
1972-12-12T04:18:13.000Z,277.69995,TC23,67,0
1972-12-12T04:19:10.000Z,276.22749,TG22A,186,0
1972-12-12T04:19:10.000Z,273.37249,TG22B,234,0
1972-12-12T04:25:27.000Z,275.39996,TC23,67,0
1972-12-12T04:25:27.000Z,278.39996,TC22,15,0
1972-12-12T04:26:25.000Z,275.0815,TG22A,186,0
1972-12-12T04:26:25.000Z,272.4185,TG22B,234,0
1972-12-12T04:32:41.000Z,277.09998,TC22,15,0
1972-12-12T04:32:41.000Z,274.79999,TC23,67,0
1972-12-12T04:33:39.000Z,273.97899,TG22A,186,0
1972-12-12T04:33:39.000Z,271.50099,TG22B,234,0
1972-12-12T04:39:56.000Z,276.5,TC22,15,0
1972-12-12T04:39:56.000Z,274.0,TC23,67,0
