Time,T,sensor,depth,flags
1971-07-31T19:52:36.000Z,331.82948,TG22A,49,0
1971-07-31T19:52:36.000Z,323.51048,TG22B,97,0
1971-07-31T19:59:54.000Z,323.31198,TG22B,97,0
1971-07-31T19:59:54.000Z,332.02798,TG22A,49,0
1971-07-31T20:57:44.000Z,322.74348,TG22B,97,0
1971-07-31T20:57:44.000Z,332.59648,TG22A,49,0
1971-07-31T21:55:45.000Z,322.60798,TG22B,97,0
1971-07-31T21:55:45.000Z,332.73198,TG22A,49,0
1971-07-31T22:31:56.000Z,322.56098,TG22B,97,0
1971-07-31T22:31:56.000Z,332.77898,TG22A,49,0
1971-07-31T23:29:54.000Z,332.82498,TG22A,49,0
1971-07-31T23:29:54.000Z,322.51498,TG22B,97,0
1971-08-01T00:27:55.000Z,332.87048,TG22A,49,0
1971-08-01T00:27:55.000Z,322.46948,TG22B,97,0
1971-08-01T00:56:56.000Z,322.43748,TG22B,97,0
1971-08-01T00:56:56.000Z,332.90248,TG22A,49,0
1971-08-01T01:54:54.000Z,332.96698,TG22A,49,0
1971-08-01T01:54:54.000Z,322.37298,TG22B,97,0
1971-08-01T02:52:43.000Z,322.28498,TG22B,97,0
1971-08-01T02:52:43.000Z,333.05498,TG22A,49,0
1971-08-01T03:50:45.000Z,322.21448,TG22B,97,0
1971-08-01T03:50:45.000Z,333.12548,TG22A,49,0
1971-08-01T04:48:46.000Z,322.18698,TG22B,97,0
1971-08-01T04:48:46.000Z,333.15298,TG22A,49,0
1971-08-01T05:53:54.000Z,322.14548,TG22B,97,0
1971-08-01T05:53:54.000Z,333.19448,TG22A,49,0
1971-08-01T06:51:55.000Z,322.18448,TG22B,97,0
1971-08-01T06:51:55.000Z,333.15548,TG22A,49,0
1971-08-01T07:49:57.000Z,322.18148,TG22B,97,0
1971-08-01T07:49:57.000Z,333.15848,TG22A,49,0
1971-08-01T08:47:46.000Z,322.19798,TG22B,97,0
1971-08-01T08:47:46.000Z,333.14198,TG22A,49,0
1971-08-01T09:45:44.000Z,322.21948,TG22B,97,0
1971-08-01T09:45:44.000Z,333.12048,TG22A,49,0
1971-08-01T10:43:45.000Z,322.25098,TG22B,97,0
1971-08-01T10:43:45.000Z,333.08898,TG22A,49,0
1971-08-01T11:41:47.000Z,322.28598,TG22B,97,0
1971-08-01T11:41:47.000Z,333.05398,TG22A,49,0
1971-08-01T12:32:26.000Z,322.33298,TG22B,97,0
1971-08-01T12:32:26.000Z,333.00698,TG22A,49,0
1971-08-01T13:30:24.000Z,322.38648,TG22B,97,0
1971-08-01T13:30:24.000Z,332.95348,TG22A,49,0
1971-08-01T14:28:13.000Z,322.49798,TG22B,97,0
1971-08-01T14:28:13.000Z,332.84198,TG22A,49,0
1971-08-01T15:26:15.000Z,322.59298,TG22B,97,0
1971-08-01T15:26:15.000Z,332.74698,TG22A,49,0
1971-08-01T16:16:54.000Z,322.69148,TG22B,97,0
1971-08-01T16:16:54.000Z,332.64848,TG22A,49,0
1971-08-01T17:34:56.000Z,315.67949,TG22B,97,0
1971-08-01T17:34:56.000Z,322.54049,TG22A,49,0
1971-08-01T18:32:53.000Z,294.53048,TG22B,97,0
1971-08-01T18:32:53.000Z,301.80948,TG22A,49,0
1971-08-01T18:47:13.000Z,291.629,TG22B,97,0
1971-08-01T18:47:13.000Z,298.111,TG22A,49,0
1971-08-01T19:01:46.000Z,295.04247,TG22A,49,0
1971-08-01T19:01:46.000Z,288.77747,TG22B,97,0
1971-08-01T19:59:43.000Z,285.25446,TG22A,49,0
1971-08-01T19:59:43.000Z,280.04546,TG22B,97,0
1971-08-01T20:57:45.000Z,273.84299,TG22B,97,0
1971-08-01T20:57:45.000Z,278.51699,TG22A,49,0
1971-08-01T21:55:34.000Z,273.7185,TG22A,49,0
1971-08-01T21:55:34.000Z,269.4015,TG22B,97,0
1971-08-01T22:53:36.000Z,270.09997,TG22A,49,0
1971-08-01T22:53:36.000Z,266.07997,TG22B,97,0
1971-08-01T23:51:33.000Z,267.41248,TG22A,49,0
1971-08-01T23:51:33.000Z,263.66748,TG22B,97,0
1971-08-02T00:49:35.000Z,261.78396,TG22B,97,0
1971-08-02T00:49:35.000Z,265.25596,TG22A,49,0
1971-08-02T01:47:24.000Z,260.33044,TG22B,97,0
1971-08-02T01:47:24.000Z,263.54944,TG22A,49,0
1971-08-02T02:45:26.000Z,259.2615,TG22B,97,0
1971-08-02T02:45:26.000Z,262.2385,TG22A,49,0
1971-08-02T03:43:23.000Z,258.33796,TG22B,97,0
1971-08-02T03:43:23.000Z,261.08196,TG22A,49,0
1971-08-02T04:41:25.000Z,257.67144,TG22B,97,0
1971-08-02T04:41:25.000Z,260.20844,TG22A,49,0
1971-08-02T05:39:14.000Z,257.01049,TG22B,97,0
1971-08-02T05:39:14.000Z,259.34949,TG22A,49,0
1971-08-02T05:53:55.000Z,256.80145,TG22B,97,0
1971-08-02T05:53:55.000Z,259.09845,TG22A,49,0
1971-08-02T06:08:23.000Z,256.75494,TG22B,97,0
1971-08-02T06:08:23.000Z,259.00494,TG22A,49,0
1971-08-02T07:06:16.000Z,256.25949,TG22B,97,0
1971-08-02T07:06:16.000Z,258.34049,TG22A,49,0
1971-08-02T08:02:27.000Z,255.93246,TG22B,97,0
1971-08-02T08:02:27.000Z,257.86746,TG22A,49,0
1971-08-02T09:00:29.000Z,257.36697,TG22A,49,0
1971-08-02T09:00:29.000Z,255.57297,TG22B,97,0
1971-08-02T09:58:27.000Z,256.90195,TG22A,49,0
1971-08-02T09:58:27.000Z,255.23795,TG22B,97,0
1971-08-02T10:56:20.000Z,256.59348,TG22A,49,0
1971-08-02T10:56:20.000Z,255.04648,TG22B,97,0
1971-08-02T11:54:17.000Z,256.17899,TG22A,49,0
1971-08-02T11:54:17.000Z,254.74099,TG22B,97,0
1971-08-02T12:52:19.000Z,254.53999,TG22B,97,0
1971-08-02T12:52:19.000Z,255.87999,TG22A,49,0
1971-08-02T13:53:13.000Z,255.05748,TR22A,59,0
1971-08-02T13:53:13.000Z,254.78248,TR22B,87,0
1971-08-02T14:31:47.000Z,255.44398,TG22A,49,0
1971-08-02T14:31:47.000Z,254.25598,TG22B,97,0
1971-08-02T15:29:49.000Z,254.11498,TG22B,97,0
1971-08-02T15:29:49.000Z,255.22498,TG22A,49,0
