Time,T,sensor,depth,flags
1971-07-31T19:51:43.000Z,283.15199,TG12A,91,0
1971-07-31T19:51:43.000Z,281.82799,TG12B,139,0
1971-07-31T19:59:01.000Z,281.61548,TG12A,91,0
1971-07-31T19:59:01.000Z,280.46448,TG12B,139,0
1971-07-31T20:56:50.000Z,273.01644,TG12A,91,0
1971-07-31T20:56:50.000Z,271.86344,TG12B,139,0
1971-07-31T21:54:52.000Z,266.065,TG12B,139,0
1971-07-31T21:54:52.000Z,268.175,TG12A,91,0
1971-07-31T22:31:03.000Z,266.23048,TG12A,91,0
1971-07-31T22:31:03.000Z,263.46948,TG12B,139,0
1971-07-31T23:29:00.000Z,264.00096,TG12A,91,0
1971-07-31T23:29:00.000Z,260.29896,TG12B,139,0
1971-08-01T00:27:02.000Z,260.58198,TG12A,91,0
1971-08-01T00:27:02.000Z,260.11798,TG12B,139,0
1971-08-01T00:56:03.000Z,259.2305,TG12B,139,0
1971-08-01T00:56:03.000Z,260.0095,TG12A,91,0
1971-08-01T01:54:00.000Z,257.85545,TG12B,139,0
1971-08-01T01:54:00.000Z,259.16445,TG12A,91,0
1971-08-01T02:51:50.000Z,258.53398,TG12A,91,0
1971-08-01T02:51:50.000Z,256.80598,TG12B,139,0
1971-08-01T03:48:05.000Z,257.07349,TG12A,91,0
1971-08-01T03:48:05.000Z,257.02649,TG12B,139,0
1971-08-01T04:46:06.000Z,256.69848,TG12A,91,0
1971-08-01T04:46:06.000Z,256.38148,TG12B,139,0
1971-08-01T05:51:14.000Z,255.7785,TG12B,139,0
1971-08-01T05:51:14.000Z,256.3415,TG12A,91,0
1971-08-01T06:49:16.000Z,255.36849,TG12B,139,0
1971-08-01T06:49:16.000Z,256.11149,TG12A,91,0
1971-08-01T07:47:17.000Z,255.96749,TG12A,91,0
1971-08-01T07:47:17.000Z,255.07249,TG12B,139,0
1971-08-01T08:45:06.000Z,255.28299,TG12A,91,0
1971-08-01T08:45:06.000Z,255.25699,TG12B,139,0
1971-08-01T09:43:04.000Z,255.03098,TG12B,139,0
1971-08-01T09:43:04.000Z,255.16898,TG12A,91,0
1971-08-01T10:41:06.000Z,254.82147,TG12B,139,0
1971-08-01T10:41:06.000Z,255.05847,TG12A,91,0
1971-08-01T11:39:07.000Z,254.60799,TG12B,139,0
1971-08-01T11:39:07.000Z,254.93199,TG12A,91,0
1971-08-01T12:29:46.000Z,254.4235,TG12B,139,0
1971-08-01T12:29:46.000Z,254.8165,TG12A,91,0
1971-08-01T13:27:44.000Z,254.75149,TG12A,91,0
1971-08-01T13:27:44.000Z,254.28849,TG12B,139,0
1971-08-01T14:25:33.000Z,254.46298,TG12A,91,0
1971-08-01T14:25:33.000Z,254.43698,TG12B,139,0
1971-08-01T15:23:35.000Z,254.382,TG12A,91,0
1971-08-01T15:23:35.000Z,254.298,TG12B,139,0
1971-08-01T16:14:14.000Z,254.275,TG12B,139,0
1971-08-01T16:14:14.000Z,254.405,TG12A,91,0
1971-08-01T16:55:57.000Z,254.14748,TG12B,139,0
1971-08-01T16:55:57.000Z,254.31248,TG12A,91,0
1971-08-01T16:59:34.000Z,254.15599,TG12B,139,0
1971-08-01T16:59:34.000Z,254.32399,TG12A,91,0
1971-08-01T17:03:15.000Z,254.28548,TG12A,91,0
1971-08-01T17:03:15.000Z,254.11448,TG12B,139,0
1971-08-01T17:06:44.000Z,254.10297,TG12B,139,0
1971-08-01T17:06:44.000Z,254.27697,TG12A,91,0
1971-08-01T17:10:25.000Z,254.11198,TG12B,139,0
1971-08-01T17:10:25.000Z,254.28798,TG12A,91,0
1971-08-01T17:14:06.000Z,254.06997,TG12B,139,0
1971-08-01T17:14:06.000Z,254.24997,TG12A,91,0
1971-08-01T17:17:43.000Z,254.28147,TG12A,91,0
1971-08-01T17:17:43.000Z,254.09847,TG12B,139,0
1971-08-01T17:21:16.000Z,254.13748,TG12B,139,0
1971-08-01T17:21:16.000Z,254.32248,TG12A,91,0
1971-08-01T17:24:53.000Z,254.10598,TG12B,139,0
1971-08-01T17:24:53.000Z,254.29398,TG12A,91,0
1971-08-01T17:28:35.000Z,254.25547,TG12A,91,0
1971-08-01T17:28:35.000Z,254.06447,TG12B,139,0
1971-08-01T17:32:16.000Z,254.25697,TG12A,91,0
1971-08-01T17:32:16.000Z,254.06297,TG12B,139,0
1971-08-01T18:30:13.000Z,254.2385,TG12A,91,0
1971-08-01T18:30:13.000Z,254.0015,TG12B,139,0
1971-08-01T18:44:33.000Z,254.2435,TG12A,91,0
1971-08-01T18:44:33.000Z,253.9965,TG12B,139,0
1971-08-01T18:59:06.000Z,254.0635,TG12A,91,0
1971-08-01T18:59:06.000Z,254.0565,TG12B,139,0
1971-08-01T19:57:03.000Z,254.04299,TG12A,91,0
1971-08-01T19:57:03.000Z,253.99699,TG12B,139,0
1971-08-01T20:55:05.000Z,253.99048,TG12A,91,0
1971-08-01T20:55:05.000Z,253.90948,TG12B,139,0
1971-08-01T21:52:54.000Z,253.99697,TG12A,91,0
1971-08-01T21:52:54.000Z,253.88297,TG12B,139,0
1971-08-01T22:50:56.000Z,253.85,TG12A,91,0
1971-08-01T22:50:56.000Z,253.83,TG12B,139,0
1971-08-01T23:48:53.000Z,253.816,TG12B,139,0
1971-08-01T23:48:53.000Z,253.864,TG12A,91,0
1971-08-02T00:46:55.000Z,253.76324,TG12B,139,0
1971-08-02T00:46:55.000Z,253.77674,TG12A,91,0
